"","hostile_offline","hostile_offline1","hostile_offline2","hostile_offline3","hostile_online","hostile_online1","hostile_online2","hostile_online3","hostile_online4","hostile_online5","talk_offline","talk_offline1","talk_offline2","talk_offline3","talk_offline4","talk_offline5","talk_online","talk_online1","talk_online2","talk_online3","talk_online4","talk_online5","tone_online4","tone_online5","tone_online6","tone_online1","tone_online2","tone_online3","tone_online_neg","tone_online_pos","tone_offline4","tone_offline5","tone_offline6","tone_offline1","tone_offline2","tone_offline3","tone_offline_neg","tone_offline_pos","aggression","ders","sdrt","aggression1","aggression2","aggression3","aggression4","aggression5","aggression6","aggression7","aggression8","aggression9","aggression10","aggression11","aggression12","ders1","ders2","ders3","ders4","ders5","ders6","ders7","ders8","ders9","ders10","ders11","ders12","sdrt1","sdrt2","sdrt3","sdrt4","sdrt5","sdrt6","sdrt7","sdrt8","sdrt9","sdrt10","sdrt11","sdrt12","sdrt13","sdrt14","female","age","age_year","highered","income","pid","white"
"1031",0,1,1,1,0,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4,4,4,4,4,4,0.5,0.5,4,4,4,4,4,4,0.5,0.5,0.5,0.5,0.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0.24390243902439,30,0,0.4,0.5,1
"1032",0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0.388888888888889,0.319444444444444,0.0714285714285714,4,4,5,1,1,1,2,2,1,7,7,5,1,1,7,3,4,1,3,5,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,0.731707317073171,50,1,0.133333333333333,0.5,1
"1033",0,1,1,1,0.0333333333333333,1,1,1,2,1,0.333333333333333,0.5,0.333333333333333,0.166666666666667,0.5,0.166666666666667,0.433333333333333,0.5,0.166666666666667,0.5,0.5,0.5,5,5,5,2,1,1,0.666666666666667,0.0555555555555555,1,1,1,5,5,4,0,0.611111111111111,0.236111111111111,0.416666666666667,0.0595238095238095,2,2,3,1,1,4,1,1,5,6,1,2,3,3,5,5,1,2,6,7,4,2,2,2,1,2,1,2,2,1,1,2,1,1,2,1,1,1,0,0.731707317073171,50,1,0.333333333333333,0.5,1
"1034",0.333333333333333,3,2,4,0.333333333333333,4,4,2,3,2,0.2,0,0,0.333333333333333,0.166666666666667,0.5,0.466666666666667,0.166666666666667,0.166666666666667,0.833333333333333,0.5,0.666666666666667,2,4,1,1,2,1,0.222222222222222,0.0555555555555555,2,3,5,1,4,7,0.388888888888889,0.5,0.0694444444444445,0.222222222222222,0.357142857142857,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,6,7,1,2,1,2,7,1,1,2,1,1,5,7,1,1,2,7,1,7,0,0.609756097560976,45,1,0,0.5,0
"1035",0,1,1,1,0,1,1,1,1,1,0.166666666666667,0.333333333333333,0.166666666666667,0,0.333333333333333,0,0.233333333333333,0.333333333333333,0.333333333333333,0,0.166666666666667,0.333333333333333,5,4,5,2,2,1,0.611111111111111,0.111111111111111,2,1,1,3,3,2,0.0555555555555555,0.277777777777778,0.208333333333333,0.111111111111111,0.44047619047619,1,2,1,1,1,1,1,4,1,6,4,4,1,1,1,1,1,1,5,5,1,1,1,1,6,1,5,3,2,3,4,6,3,3,2,6,1,6,1,0,20,0,0.133333333333333,1,1
"1036",0,1,1,1,0,1,1,1,1,1,0.366666666666667,1,0,0,0.833333333333333,0,0,0,0,0,0,0,1,1,1,7,7,7,0,1,4,4,1,7,1,7,0.333333333333333,0.666666666666667,0.5,0.513888888888889,0.654761904761905,4,1,4,1,4,1,7,1,6,5,7,7,4,3,7,4,4,4,1,4,3,4,4,7,5,7,4,7,7,7,3,1,7,5,4,1,7,4,1,0.24390243902439,30,0,0.533333333333333,1,1
"1037",0.277777777777778,3,3,2,0.533333333333333,4,5,5,4,3,0.466666666666667,0.333333333333333,0.5,0.166666666666667,0.666666666666667,0.666666666666667,0.4,0.166666666666667,0.5,0.333333333333333,0.333333333333333,0.666666666666667,4,5,2,4,3,3,0.444444444444444,0.388888888888889,4,4,3,5,5,3,0.444444444444444,0.555555555555555,0.472222222222222,0.416666666666667,0.5,4,4,4,5,5,4,3,2,5,3,3,4,4,5,4,3,3,4,3,5,4,2,2,3,4,5,2,4,3,5,4,4,4,4,4,5,3,5,0,0.731707317073171,50,0,0.266666666666667,0,0
"1038",0,1,1,1,0,1,1,1,1,1,0.233333333333333,0.5,0,0,0.166666666666667,0.5,0,0,0,0,0,0,4,4,6,3,2,4,0.611111111111111,0.333333333333333,4,2,4,4,1,5,0.388888888888889,0.388888888888889,0.444444444444444,0.138888888888889,0.0833333333333333,2,5,1,5,6,4,7,4,5,3,1,1,1,1,5,2,1,4,1,1,1,3,1,1,1,1,1,1,1,1,1,4,1,1,1,1,5,1,1,0.609756097560976,45,0,0.333333333333333,0.166666666666667,0
"1039",0,1,1,1,0,1,1,1,1,1,0.166666666666667,0.166666666666667,0.166666666666667,0,0.333333333333333,0.166666666666667,0.133333333333333,0.166666666666667,0.166666666666667,0,0.166666666666667,0.166666666666667,2,2,2,5,5,5,0.166666666666667,0.666666666666667,2,2,2,5,5,5,0.166666666666667,0.666666666666667,0.166666666666667,0.236111111111111,0.261904761904762,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,6,2,1,2,2,2,6,2,2,2,2,2,2,2,6,2,2,1,0.609756097560976,45,0,0.133333333333333,1,1
"1040",0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0.652777777777778,0.333333333333333,0.357142857142857,5,7,3,5,5,4,5,5,5,5,5,5,2,5,1,1,4,3,4,6,2,1,5,2,4,4,5,4,1,1,4,4,3,4,2,3,1,4,0,0.48780487804878,40,0,0.266666666666667,0.333333333333333,0
"1041",0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0.0833333333333333,0.319444444444444,0.476190476190476,1,3,2,1,1,1,2,1,2,1,2,1,3,3,3,1,1,4,4,4,4,4,3,1,4,3,3,6,3,3,4,4,5,3,5,5,1,5,1,0.24390243902439,30,1,0.333333333333333,0.5,1
"1042",0,1,1,1,0,1,1,1,1,1,0.0666666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0.0972222222222222,0.125,0.297619047619048,1,1,1,1,1,1,6,3,1,1,1,1,1,1,1,1,1,1,5,6,1,1,1,1,7,1,2,1,1,1,7,7,1,1,1,1,1,7,1,0.731707317073171,50,1,0.133333333333333,0.666666666666667,0
"1043",0,1,1,1,0,1,1,1,1,1,0.433333333333333,0.166666666666667,0.666666666666667,0.333333333333333,0.5,0.5,0.533333333333333,0.5,0.333333333333333,0.5,0.666666666666667,0.666666666666667,1,1,1,7,7,7,0,1,1,1,1,7,7,7,0,1,0.361111111111111,0.291666666666667,0.392857142857143,3,5,3,3,3,3,2,3,3,3,4,3,3,3,4,4,2,3,2,3,1,4,2,2,6,2,2,1,2,1,6,6,2,2,2,6,2,7,1,0.365853658536585,35,0,0.6,1,1
"1044",0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0.527777777777778,0.625,0.392857142857143,6,1,7,5,4,5,3,3,4,5,4,3,3,7,4,7,7,5,3,3,5,4,5,4,1,3,1,4,7,1,7,4,1,1,1,6,3,7,1,0.121951219512195,25,0,0,0.5,0
"1045",0,1,1,1,0,1,1,1,1,1,0.3,0.333333333333333,0.333333333333333,0.166666666666667,0.333333333333333,0.333333333333333,0.0666666666666667,0.166666666666667,0.166666666666667,0,0,0,6,6,6,2,2,2,0.833333333333333,0.166666666666667,2,1,2,6,4,6,0.111111111111111,0.722222222222222,0.138888888888889,0.166666666666667,0.380952380952381,1,3,1,1,1,1,5,3,3,1,1,1,1,2,3,4,1,1,4,4,1,1,1,1,4,1,7,4,1,2,7,4,2,2,1,1,4,6,1,0.365853658536585,35,0,NA,1,1
"1046",0.0555555555555555,2,1,1,0,1,1,1,1,1,0.466666666666667,0.666666666666667,0.5,0.166666666666667,0.5,0.5,0.366666666666667,0.5,0.166666666666667,0.166666666666667,0.5,0.5,7,7,7,2,2,2,1,0.166666666666667,4,4,5,5,4,5,0.555555555555555,0.611111111111111,0.208333333333333,0.25,0.0238095238095238,1,3,1,1,1,1,5,3,2,2,2,5,2,2,4,5,1,1,4,3,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0.731707317073171,50,1,0.6,1,1
"1047",0,1,1,1,0,1,1,1,1,1,0.133333333333333,0.333333333333333,0,0,0.166666666666667,0.166666666666667,0.133333333333333,0.333333333333333,0.166666666666667,0,0.166666666666667,0,1,5,6,7,7,6,0.5,0.944444444444445,1,5,6,7,6,6,0.5,0.888888888888889,0.5,0.166666666666667,0.130952380952381,6,7,2,5,2,1,5,2,7,2,4,5,1,1,2,5,1,2,1,2,2,2,2,3,1,1,1,1,2,1,2,2,1,3,3,2,4,1,1,0.121951219512195,25,1,0,0.166666666666667,0
"1048",0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0.277777777777778,0.444444444444444,0.488095238095238,2,3,2,1,1,2,4,2,1,5,4,5,4,4,5,5,2,2,5,3,4,4,4,2,4,2,4,5,4,4,4,3,4,5,6,1,6,3,1,0.48780487804878,40,0,0,0,1
"1049",0.166666666666667,2,2,2,0,1,1,1,1,1,0.333333333333333,0.5,0.166666666666667,0.166666666666667,0.5,0.333333333333333,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,5,2,5,5,5,5,0.5,0.666666666666667,6,5,4,4,4,5,0.666666666666667,0.555555555555555,0.5,0.513888888888889,0.535714285714286,4,3,4,5,4,4,4,4,4,4,4,4,5,5,4,4,4,4,3,3,4,4,4,5,4,4,5,5,4,6,4,4,4,4,4,2,5,4,1,0.853658536585366,55,1,0.533333333333333,0.166666666666667,1
