NO.,hostile_offline,hostile_online,aggression,online_offline
1246,0.055555556,0.166666667,0.527777778,0.11111111099999998
1247,0.055555556,0.133333333,0.277777778,0.07777777699999999
1248,0,0,0.916666667,0
1249,0,0,0.388888889,0
1250,0,0,0.180555556,0
1251,0.611111111,0,0.583333333,-0.611111111
1252,0,0,0.472222222,0
1253,0.111111111,0.1,0.319444444,-0.011111110999999993
1254,0,0,0.361111111,0
1255,0,0,0.416666667,0
1256,0.944444444,0.8,0.791666667,-0.144444444
1257,0,0,0.375,0
1258,0.222222222,0.166666667,0.430555556,-0.055555555000000006
1259,0.055555556,0.033333333,0.458333333,-0.022222223
1260,0.333333333,0.5,0.555555556,0.166666667
1261,0,0,0.236111111,0
1262,0,0,0.416666667,0
1263,0,0,0.430555556,0
1264,0,0,0.555555556,0
1265,0,0,0.361111111,0
1266,0,0,0.291666667,0
1267,0,0,0.569444444,0
1268,0.111111111,0.1,0.361111111,-0.011111110999999993
1269,0,0,0.333333333,0
1270,0,0.066666667,0.902777778,0.066666667
1271,0,0.033333333,0.458333333,0.033333333
1272,0,0,0.194444444,0
1273,0.111111111,0,0.319444444,-0.111111111
1274,0,0,0.375,0
1275,0,0.033333333,0.138888889,0.033333333
1276,0,0,0.347222222,0
1277,0.111111111,0.133333333,0.375,0.022222222
1278,0,0,0.708333333,0
1279,0,0,0.361111111,0
1280,0,0,0.236111111,0
1281,0,0,0.583333333,0
1282,0,0,0.361111111,0
1283,0,0,0.472222222,0
1284,0,0,0.625,0
1285,0,0,0.111111111,0
1286,0,0,0.277777778,0
1287,0,0,0.180555556,0
1288,0,0,0.75,0
1289,0,0,0.5,0
1290,0.111111111,0.233333333,0.694444444,0.122222222
1291,0,0,0.194444444,0
1292,0,0,0.513888889,0
1293,0,0,0.861111111,0
1294,0,0,0.291666667,0
1295,0,0,0.722222222,0
1296,0.055555556,0,0.527777778,-0.055555556
1297,0,0,0.194444444,0
1298,0.166666667,0.233333333,0.166666667,0.06666666600000001
1299,0,0.033333333,0.5,0.033333333
1300,0,0,0.375,0
1301,0.055555556,0.033333333,0.486111111,-0.022222223
1302,0,0,0.791666667,0
1303,0,0,0.444444444,0
1304,0.055555556,0,0.402777778,-0.055555556
1305,0.055555556,0.133333333,0.319444444,0.07777777699999999
1306,0,0,0.388888889,0
1307,0,0,0.361111111,0
1308,0.166666667,0.1,0.833333333,-0.06666666699999999
1309,0,0,0.486111111,0
1310,0.055555556,0.1,0.472222222,0.04444444400000001
1311,0.055555556,0,0.694444444,-0.055555556
1312,0.055555556,0,0.486111111,-0.055555556
1313,0,0,0.541666667,0
1314,0,0,0.152777778,0
1315,0,0,0.555555556,0
1316,0.055555556,0.033333333,0.569444444,-0.022222223
1317,0,0.033333333,0.736111111,0.033333333
1318,0.055555556,0,0.486111111,-0.055555556
1319,0.111111111,0,0.541666667,-0.111111111
1320,0.055555556,0.033333333,0.375,-0.022222223
1321,0,0,0.430555556,0
1322,0.388888889,0.466666667,0.555555556,0.07777777799999996
1323,0.055555556,0,0.263888889,-0.055555556
1324,0.5,0.3,0.708333333,-0.2
1325,0,0,0.361111111,0
1326,0,0.066666667,0.625,0.066666667
1327,0.111111111,0,0.319444444,-0.111111111
1328,0,0,0.5,0
